Id,Building,Longitude,Latitude
1,Rumah Sakit Umum Daerah,127.38115014398342,0.7893479728533948
2,Mesjid Al Islah,127.38143140027647,0.7894314656565974
3,Puskesmas Kalumpang,127.38104986469867,0.7891622671678828
4,Pondok Pesantren Al-Khairat,127.38261917626951,0.7891916406925247
5,Apotek Halmahera farma,127.37990581623704,0.7896994641020538
6,Kantor ATR/BPN kota Ternate,127.37918425803677,0.7893773172612112
7,KUA Kec. Ternate Tenggah,127.37921461482874,0.7896326315202412
8,DISNAKER Kota Ternate,127.37894029451822,0.7897346266664227
9,Mesjid Hidayah Halle Sighi,127.3787675251582,0.7892902442115621
10,Polda Malut,127.36479486065264,7.875078682383166
11,Dinas Pariwisata,127.37973251544774,0.7880735275928211
12,Kimia Farma,127.38154503318835,0.7873755235461053
13,Telkom Ternate,127.38235064074237,0.787572990305849
14,Royal,127.38415780952805,0.7888697452910491
15,Emerland Hotel,127.3842255610914,0.788605153810226
16,Gereja Pantekosta,127.38600315588404,0.7885522190960154
17,Bank Maluku,127.38583222314112,0.7887001070291365
18,Sekretariat Pokja/Gedung Posyandu/Posko KKN,127.38065,0.78879
